query	reference	band	group	band_by_ani	query_path	ref_path
GCA_013390615.1	GCA_903839205.1	0.8-0.85	p__Acidobacteriota	0.8375	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_013390615.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_903839205.1.fna
GCA_001914815.1	GCA_001918935.1	0.8-0.85	p__Acidobacteriota	0.8458	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_001914815.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_001918935.1.fna
GCA_011772475.1	GCA_011049545.1	0.8-0.85	p__Acidobacteriota	0.8300	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_011772475.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_011049545.1.fna
GCA_016789705.1	GCA_018000455.1	0.8-0.85	p__Acidobacteriota	0.8274	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_016789705.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_018000455.1.fna
GCA_016720465.1	GCA_016722505.1	0.8-0.85	p__Acidobacteriota	0.8371	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_016720465.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_016722505.1.fna
GCF_000428885.1	GCA_017859995.1	0.8-0.85	p__Acidobacteriota	0.8445	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_000428885.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_017859995.1.fna
GCA_016192845.1	GCA_001767525.1	0.8-0.85	p__Acidobacteriota	0.8489	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_016192845.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_001767525.1.fna
GCA_009835985.1	GCA_002238705.1	0.8-0.85	p__Acidobacteriota	0.8479	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_009835985.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_002238705.1.fna
GCA_003530835.1	GCA_014189895.1	0.8-0.85	p__Acidobacteriota	0.8424	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_003530835.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_014189895.1.fna
GCA_002414905.1	GCA_016714815.1	0.8-0.85	p__Acidobacteriota	0.8491	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_002414905.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_016714815.1.fna
GCA_009694585.1	GCA_014190275.1	0.8-0.85	p__Actinobacteriota	0.8315	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_009694585.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_014190275.1.fna
GCF_010287905.1	GCA_014803435.1	0.8-0.85	p__Actinobacteriota	0.8386	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_010287905.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_014803435.1.fna
GCF_000152705.1	GCF_001427985.1	0.8-0.85	p__Actinobacteriota	0.8390	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_000152705.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_001427985.1.fna
GCA_900538305.1	GCA_000333815.1	0.8-0.85	p__Actinobacteriota	0.8339	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_900538305.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_000333815.1.fna
GCF_007994135.1	GCA_019112525.1	0.8-0.85	p__Actinobacteriota	0.8402	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_007994135.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_019112525.1.fna
GCF_001575205.1	GCF_000312385.1	0.8-0.85	p__Actinobacteriota	0.8273	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_001575205.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_000312385.1.fna
